Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-06-01 09:30:00-04:00,120.69000244140625,121.56999969482422,119.93000030517578,120.4800033569336,5037299,0.0,0.0
2023-06-01 09:45:00-04:00,120.4800033569336,121.22000122070312,120.16999816894531,121.08000183105469,2409954,0.0,0.0
2023-06-01 10:00:00-04:00,121.11000061035156,121.37000274658203,120.38999938964844,120.4010009765625,2087286,0.0,0.0
2023-06-01 10:15:00-04:00,120.4000015258789,120.94000244140625,120.30000305175781,120.83000183105469,1932298,0.0,0.0
2023-06-01 10:30:00-04:00,120.83000183105469,121.75,120.55000305175781,121.7249984741211,2093314,0.0,0.0
2023-06-01 10:45:00-04:00,121.7300033569336,122.08999633789062,121.60040283203125,121.62000274658203,2470115,0.0,0.0
2023-06-01 11:00:00-04:00,121.6500015258789,121.94000244140625,121.57499694824219,121.93000030517578,1117533,0.0,0.0
2023-06-01 11:15:00-04:00,121.93499755859375,122.19319915771484,121.61000061035156,121.73400115966797,1534046,0.0,0.0
2023-06-01 11:30:00-04:00,121.73999786376953,122.16000366210938,121.61000061035156,122.0198974609375,1195440,0.0,0.0
2023-06-01 11:45:00-04:00,122.0188980102539,122.43000030517578,121.8949966430664,122.36000061035156,1353234,0.0,0.0
2023-06-01 12:00:00-04:00,122.37999725341797,122.75,122.37999725341797,122.61499786376953,1678510,0.0,0.0
2023-06-01 12:15:00-04:00,122.62000274658203,123.1500015258789,122.60230255126953,122.87999725341797,1878758,0.0,0.0
2023-06-01 12:30:00-04:00,122.87000274658203,123.12999725341797,122.75,123.03500366210938,1154843,0.0,0.0
2023-06-01 12:45:00-04:00,123.02999877929688,123.41000366210938,122.94000244140625,123.29000091552734,1683095,0.0,0.0
2023-06-01 13:00:00-04:00,123.29000091552734,123.30999755859375,122.75499725341797,123.11000061035156,1607888,0.0,0.0
2023-06-01 13:15:00-04:00,123.11499786376953,123.13999938964844,122.75,122.94000244140625,1344821,0.0,0.0
2023-06-01 13:30:00-04:00,122.94000244140625,123.16500091552734,122.81999969482422,123.12950134277344,1026971,0.0,0.0
2023-06-01 13:45:00-04:00,123.12999725341797,123.36000061035156,123.0999984741211,123.2750015258789,1056210,0.0,0.0
2023-06-01 14:00:00-04:00,123.2699966430664,123.37000274658203,123.08000183105469,123.31950378417969,1003845,0.0,0.0
2023-06-01 14:15:00-04:00,123.31999969482422,123.3772964477539,123.15499877929688,123.20539855957031,1024731,0.0,0.0
2023-06-01 14:30:00-04:00,123.20999908447266,123.22209930419922,122.8499984741211,122.85990142822266,1192182,0.0,0.0
2023-06-01 14:45:00-04:00,122.85220336914062,123.27999877929688,122.81999969482422,123.19499969482422,1205764,0.0,0.0
2023-06-01 15:00:00-04:00,123.19499969482422,123.48999786376953,123.16999816894531,123.35919952392578,1565215,0.0,0.0
2023-06-01 15:15:00-04:00,123.36000061035156,123.38999938964844,123.02999877929688,123.12000274658203,1500865,0.0,0.0
2023-06-01 15:30:00-04:00,123.11499786376953,123.12000274658203,122.37000274658203,122.58999633789062,2329151,0.0,0.0
2023-06-01 15:45:00-04:00,122.59500122070312,122.83000183105469,122.4000015258789,122.7699966430664,3551365,0.0,0.0
2023-06-02 09:30:00-04:00,124.91999816894531,126.38999938964844,124.44999694824219,125.88999938964844,9457178,0.0,0.0
2023-06-02 09:45:00-04:00,125.88999938964844,126.02999877929688,124.30999755859375,124.33999633789062,4453153,0.0,0.0
2023-06-02 10:00:00-04:00,124.37000274658203,125.1500015258789,124.01499938964844,125.1500015258789,3305798,0.0,0.0
2023-06-02 10:15:00-04:00,125.1500015258789,125.48989868164062,124.93000030517578,125.4800033569336,2702121,0.0,0.0
2023-06-02 10:30:00-04:00,125.48999786376953,125.73500061035156,125.08999633789062,125.67500305175781,1892755,0.0,0.0
2023-06-02 10:45:00-04:00,125.69000244140625,126.04000091552734,125.4000015258789,125.99500274658203,2533848,0.0,0.0
2023-06-02 11:00:00-04:00,126.0,126.02999877929688,125.38999938964844,125.41000366210938,2179403,0.0,0.0
2023-06-02 11:15:00-04:00,125.4198989868164,125.54000091552734,125.12000274658203,125.13999938964844,1766403,0.0,0.0
2023-06-02 11:30:00-04:00,125.1500015258789,125.23999786376953,124.5999984741211,124.80999755859375,2130434,0.0,0.0
2023-06-02 11:45:00-04:00,124.80999755859375,125.0999984741211,124.57150268554688,124.97019958496094,1592109,0.0,0.0
2023-06-02 12:00:00-04:00,124.9800033569336,124.98699951171875,124.5,124.54989624023438,1073211,0.0,0.0
2023-06-02 12:15:00-04:00,124.54000091552734,124.63999938964844,124.2300033569336,124.42500305175781,1466308,0.0,0.0
2023-06-02 12:30:00-04:00,124.42500305175781,124.89240264892578,124.38999938964844,124.86000061035156,1399926,0.0,0.0
2023-06-02 12:45:00-04:00,124.87000274658203,125.06999969482422,124.70999908447266,124.77220153808594,1221629,0.0,0.0
2023-06-02 13:00:00-04:00,124.77130126953125,125.11000061035156,124.7300033569336,124.98999786376953,1181802,0.0,0.0
2023-06-02 13:15:00-04:00,124.98159790039062,125.12000274658203,124.8499984741211,124.93000030517578,1137846,0.0,0.0
2023-06-02 13:30:00-04:00,124.94000244140625,124.98999786376953,124.52999877929688,124.56999969482422,1488384,0.0,0.0
2023-06-02 13:45:00-04:00,124.55999755859375,124.83000183105469,124.52999877929688,124.79000091552734,1162194,0.0,0.0
2023-06-02 14:00:00-04:00,124.79499816894531,124.97000122070312,124.5999984741211,124.61000061035156,1238749,0.0,0.0
2023-06-02 14:15:00-04:00,124.61499786376953,124.81500244140625,124.4800033569336,124.63500213623047,1127556,0.0,0.0
